grupo_id,ym,demanda
1,2022-05,46
1,2022-06,166
1,2022-07,108
1,2022-08,123
1,2022-09,61
1,2022-10,107
1,2022-11,108
1,2022-12,46
1,2023-01,120
1,2023-02,61
1,2023-03,126
1,2023-04,30
1,2023-05,122
1,2023-06,75
1,2023-07,158
1,2023-08,106
1,2023-09,148
1,2023-10,218
1,2023-11,120
1,2023-12,178
1,2024-01,149
1,2024-02,194
1,2024-03,184
1,2024-04,226
1,2024-05,128
1,2024-06,321
1,2024-07,199
1,2024-08,343
1,2024-09,223
1,2024-10,331
1,2024-11,188
1,2024-12,237
1,2025-01,306
1,2025-02,193
1,2025-03,274
1,2025-04,150
1,2025-05,415
1,2025-06,151
2,2022-05,15
2,2022-06,5
2,2022-07,4
2,2022-08,4
2,2022-09,4
2,2022-10,6
2,2022-11,4
2,2022-12,1
2,2023-02,2
2,2023-05,3
2,2023-07,3
2,2023-09,3
2,2023-11,3
2,2024-01,1
2,2024-08,5
3,2022-05,42
3,2022-06,29
3,2022-07,28
3,2022-08,16
3,2022-09,69
3,2022-10,11
3,2022-11,26
3,2022-12,47
3,2023-01,1
3,2023-02,2
3,2023-03,36
3,2023-04,155
3,2023-05,70
3,2023-06,3
3,2023-07,104
3,2023-08,96
3,2023-09,100
3,2023-10,30
3,2023-11,41
3,2023-12,3
3,2024-01,5
3,2024-02,15
3,2024-03,33
3,2024-04,58
3,2024-05,12
3,2024-06,9
3,2024-07,1
3,2024-08,9
3,2024-09,9
4,2022-05,672
4,2022-06,1253
4,2022-07,1901
4,2022-08,1176
4,2022-09,1177
4,2022-10,1789
4,2022-11,1152
4,2022-12,1261
4,2023-01,998
4,2023-02,1099
4,2023-03,1527
4,2023-04,1348
4,2023-05,1359
4,2023-06,909
4,2023-07,760
4,2023-08,1559
4,2023-09,1517
4,2023-10,1874
4,2023-11,314
4,2023-12,1185
4,2024-01,1519
4,2024-02,393
4,2024-03,1022
4,2024-04,1014
4,2024-05,544
4,2024-06,337
4,2024-07,974
4,2024-08,943
4,2024-09,899
4,2024-10,1068
4,2024-11,1343
4,2024-12,236
4,2025-01,979
4,2025-02,872
4,2025-03,671
4,2025-04,976
4,2025-05,1007
4,2025-06,1327
5,2022-05,39
5,2022-06,14
5,2022-07,81
5,2022-08,16
5,2022-09,7
5,2022-10,9
5,2022-11,7
5,2023-01,7
5,2023-02,7
5,2023-03,30
5,2023-04,9
5,2023-05,7
5,2023-06,32
5,2023-07,59
5,2023-08,53
5,2023-09,8
5,2023-10,34
5,2023-11,61
5,2023-12,20
5,2024-01,90
5,2024-02,41
5,2024-03,88
5,2024-04,99
5,2024-05,87
5,2024-06,79
5,2024-07,94
5,2024-08,79
5,2024-09,79
5,2024-10,95
5,2024-11,47
5,2024-12,21
5,2025-01,26
5,2025-02,51
5,2025-03,73
5,2025-04,111
5,2025-05,97
5,2025-06,165
6,2022-05,4932
6,2022-06,1865
6,2022-07,2492
6,2022-08,12474
6,2022-09,18797
6,2022-10,21597
6,2022-11,21844
6,2022-12,2274
6,2023-01,75
6,2023-02,36
6,2023-03,66
6,2023-04,238
6,2023-05,843
6,2023-06,2005
6,2023-07,3311
6,2023-08,12102
6,2023-09,26235
6,2023-10,15402
6,2023-11,18009
6,2023-12,5703
6,2024-01,45
6,2024-02,11
6,2024-03,159
6,2024-04,255
6,2024-05,503
6,2024-06,476
6,2024-07,2236
6,2024-08,7973
6,2024-09,6327
6,2024-10,13964
6,2024-11,17306
6,2024-12,2976
6,2025-01,98
6,2025-02,602
6,2025-03,1127
6,2025-04,212
6,2025-05,191
6,2025-06,2073
7,2022-05,21
7,2022-06,1
7,2022-07,25
7,2022-08,91
7,2022-09,98
7,2022-10,63
7,2022-11,103
7,2022-12,67
7,2023-01,437
7,2023-02,274
7,2023-03,245
7,2023-04,176
7,2023-05,84
7,2023-06,16
7,2023-07,34
7,2023-08,266
7,2023-09,155
7,2023-10,216
7,2023-11,471
7,2023-12,925
7,2024-01,985
7,2024-02,226
7,2024-03,432
7,2024-04,80
7,2024-05,30
7,2024-06,43
7,2024-07,149
7,2024-08,157
7,2024-09,525
7,2024-10,72
7,2024-11,160
7,2024-12,475
7,2025-01,652
7,2025-02,476
7,2025-03,-47
7,2025-04,61
7,2025-05,42
7,2025-06,70
8,2022-05,20
8,2022-06,32
8,2022-07,6
8,2022-08,69
8,2022-09,18
8,2022-10,8
8,2022-11,45
8,2022-12,1
8,2023-02,19
8,2023-03,23
8,2023-04,5
8,2023-05,12
8,2023-06,7
8,2023-07,16
8,2023-08,30
8,2023-09,7
8,2023-10,16
8,2023-11,18
8,2023-12,13
8,2024-01,22
8,2024-02,4
8,2024-03,20
8,2024-04,12
8,2024-05,33
8,2024-06,13
8,2024-07,40
8,2024-08,13
8,2024-09,13
8,2024-10,12
8,2024-11,8
8,2024-12,8
8,2025-01,5
8,2025-02,33
8,2025-03,34
8,2025-04,18
8,2025-05,25
8,2025-06,13
9,2022-05,97
9,2022-06,78
9,2022-07,63
9,2022-08,77
9,2022-09,49
9,2022-10,12
9,2022-11,16
9,2022-12,15
9,2023-01,40
9,2023-02,34
9,2023-03,33
9,2023-04,12
9,2023-05,10
9,2023-06,29
9,2023-07,10
9,2023-08,32
9,2023-09,11
9,2023-10,34
9,2023-11,20
9,2023-12,4
9,2024-01,31
9,2024-02,9
9,2024-03,10
9,2024-05,5
9,2024-08,19
9,2024-09,3
9,2024-10,2
9,2024-12,1
9,2025-01,3
9,2025-02,2
9,2025-03,7
9,2025-06,10
10,2022-05,2
10,2022-06,4
10,2022-07,1
10,2022-08,2
10,2023-03,12
10,2023-04,3
10,2024-06,4
10,2024-07,2
11,2022-05,2519
11,2022-06,3732
11,2022-07,2698
11,2022-08,3287
11,2022-09,2488
11,2022-10,2582
11,2022-11,3040
11,2022-12,2304
11,2023-01,2139
11,2023-02,1609
11,2023-03,2792
11,2023-04,2758
11,2023-05,3259
11,2023-06,2545
11,2023-07,5101
11,2023-08,3903
11,2023-09,2977
11,2023-10,3617
11,2023-11,2745
11,2023-12,2457
11,2024-01,2789
11,2024-02,2746
11,2024-03,2299
11,2024-04,3271
11,2024-05,2836
11,2024-06,2160
11,2024-07,4887
11,2024-08,4780
11,2024-09,3075
11,2024-10,5282
11,2024-11,4861.5
11,2024-12,3504
11,2025-01,3095
11,2025-02,3252
11,2025-03,3663
11,2025-04,4064
11,2025-05,5514
11,2025-06,3514
12,2022-05,141
12,2022-06,222
12,2022-07,251
12,2022-08,204
12,2022-09,227
12,2022-10,287
12,2022-11,255
12,2022-12,342
12,2023-01,129
12,2023-02,124
12,2023-03,209
12,2023-04,136
12,2023-05,249
12,2023-06,273
12,2023-07,221
12,2023-08,162
12,2023-09,216
12,2023-10,217
12,2023-11,263
