grupo_id,ym,yhat,yhat_lower,yhat_upper,metodo
1,2025-07,281.4983,222.9541,346.7271,prophet
1,2025-08,361.3251,297.776,422.5742,prophet
1,2025-09,282.0127,217.6992,345.6508,prophet
1,2025-10,369.6762,304.7013,426.3427,prophet
1,2025-11,277.7158,221.3999,339.3708,prophet
1,2025-12,299.5014,235.4489,358.2197,prophet
1,2026-01,357.0255,292.4857,422.244,prophet
1,2026-02,281.8616,218.5381,343.0541,prophet
1,2026-03,346.2293,288.9675,407.5681,prophet
1,2026-04,265.0045,197.9538,325.8377,prophet
1,2026-05,369.6449,309.9567,435.2233,prophet
1,2026-06,355.1258,295.8201,416.1063,prophet
2,2025-07,0.0,0.0,0.0,prophet
2,2025-08,0.0,0.0,1.1784,prophet
2,2025-09,0.0,0.0,0.0,prophet
2,2025-10,0.4569,0.0,2.5172,prophet
2,2025-11,0.0,0.0,0.0,prophet
2,2025-12,0.0,0.0,0.0,prophet
2,2026-01,0.0,0.0,0.0,prophet
2,2026-02,0.0,0.0,0.0,prophet
2,2026-03,0.0,0.0,0.0,prophet
2,2026-04,0.0,0.0,0.0,prophet
2,2026-05,0.0,0.0,0.3363,prophet
2,2026-06,0.0,0.0,0.0,prophet
3,2025-07,13.3345,0.0,41.7489,prophet
3,2025-08,11.3431,0.0,38.4274,prophet
3,2025-09,25.0716,0.0,51.9759,prophet
3,2025-10,19.2346,0.0,47.9297,prophet
3,2025-11,0.0,0.0,11.3956,prophet
3,2025-12,30.9724,2.625,59.3532,prophet
3,2026-01,0.0,0.0,0.0,prophet
3,2026-02,0.0,0.0,4.1791,prophet
3,2026-03,0.0,0.0,26.8007,prophet
3,2026-04,84.1188,55.5761,112.9995,prophet
3,2026-05,4.3082,0.0,31.7115,prophet
3,2026-06,0.0,0.0,0.0,prophet
4,2025-07,1012.2829,709.8719,1341.4584,prophet
4,2025-08,892.7895,557.688,1228.2829,prophet
4,2025-09,854.7536,536.2568,1177.3414,prophet
4,2025-10,1167.5994,857.6811,1487.5991,prophet
4,2025-11,909.6115,609.7788,1248.4979,prophet
4,2025-12,419.3189,103.5581,742.7142,prophet
4,2026-01,819.1546,514.532,1155.1193,prophet
4,2026-02,633.0313,328.1086,964.9614,prophet
4,2026-03,842.8854,544.7038,1141.0154,prophet
4,2026-04,817.5477,480.7724,1132.3274,prophet
4,2026-05,553.2609,238.9234,891.9279,prophet
4,2026-06,585.695,256.0948,900.5027,prophet
5,2025-07,127.7254,103.7435,151.4382,prophet
5,2025-08,103.3159,80.3214,126.9122,prophet
5,2025-09,98.1892,76.2667,119.4519,prophet
5,2025-10,115.3848,93.8622,138.5836,prophet
5,2025-11,94.5309,71.3442,118.5114,prophet
5,2025-12,73.2382,50.7786,95.5069,prophet
5,2026-01,87.3974,65.3177,108.8868,prophet
5,2026-02,92.2701,68.1905,114.8514,prophet
5,2026-03,118.6891,95.6276,142.7399,prophet
5,2026-04,123.9339,100.4054,145.8473,prophet
5,2026-05,131.2581,109.207,153.5242,prophet
5,2026-06,147.2891,124.999,172.5158,prophet
6,2025-07,1220.0236,0.0,3508.8833,prophet
6,2025-08,8844.0289,6322.2803,11248.3642,prophet
6,2025-09,11939.7791,9492.042,14268.2903,prophet
6,2025-10,15479.9721,13091.7826,17795.531,prophet
6,2025-11,17448.3403,15168.4123,19836.7517,prophet
6,2025-12,1401.6094,0.0,3766.6117,prophet
6,2026-01,0.0,0.0,259.1551,prophet
6,2026-02,0.0,0.0,47.7873,prophet
6,2026-03,0.0,0.0,838.1999,prophet
6,2026-04,0.0,0.0,435.61,prophet
6,2026-05,0.0,0.0,1076.4092,prophet
6,2026-06,0.0,0.0,520.5365,prophet
7,2025-07,170.9228,0.9209,346.5365,prophet
7,2025-08,236.6124,79.3715,407.4418,prophet
7,2025-09,442.2053,274.3095,608.069,prophet
7,2025-10,191.0593,33.7092,351.7748,prophet
7,2025-11,298.9946,126.541,460.9022,prophet
7,2025-12,537.0347,368.4761,696.0778,prophet
7,2026-01,749.6931,591.6805,911.4122,prophet
7,2026-02,488.8755,329.2515,648.6076,prophet
7,2026-03,269.5131,100.374,434.2462,prophet
7,2026-04,225.469,56.7194,395.2587,prophet
7,2026-05,178.2817,17.2975,352.6374,prophet
7,2026-06,153.9846,0.0,323.7868,prophet
8,2025-07,24.5563,11.8883,36.5254,prophet
8,2025-08,30.4904,18.9315,42.7265,prophet
8,2025-09,13.871,1.1647,26.5451,prophet
8,2025-10,12.2222,0.0,24.0502,prophet
8,2025-11,20.9327,9.0919,33.401,prophet
8,2025-12,7.0829,0.0,19.4191,prophet
8,2026-01,5.2392,0.0,17.3334,prophet
8,2026-02,22.3993,10.2996,33.8329,prophet
8,2026-03,27.2731,15.4451,39.5854,prophet
8,2026-04,11.8224,0.2949,23.9683,prophet
8,2026-05,19.9003,7.702,31.3286,prophet
8,2026-06,16.5874,5.2632,29.6864,prophet
9,2025-07,0.0,0.0,4.7812,prophet
9,2025-08,4.5977,0.0,22.3636,prophet
9,2025-09,0.0,0.0,1.4025,prophet
9,2025-10,0.0,0.0,0.0,prophet
9,2025-11,0.0,0.0,0.0,prophet
9,2025-12,0.0,0.0,0.0,prophet
9,2026-01,0.0,0.0,0.3864,prophet
9,2026-02,0.0,0.0,0.0,prophet
9,2026-03,0.0,0.0,0.0,prophet
9,2026-04,0.0,0.0,0.0,prophet
9,2026-05,0.0,0.0,0.0,prophet
9,2026-06,0.0,0.0,1.2416,prophet
10,2025-07,0.0857,0.0,0.9065,prophet
