grupo_id,ym,yhat,yhat_lower,yhat_upper,metodo
1,2025-07,281.4983,221.0243,344.6902,prophet
1,2025-08,361.3251,296.5568,424.5136,prophet
1,2025-09,282.0127,221.5677,337.7024,prophet
1,2025-10,369.6762,309.4352,426.1635,prophet
1,2025-11,277.7158,219.1599,340.0575,prophet
1,2025-12,299.5014,233.6967,364.0566,prophet
1,2026-01,357.0255,294.5697,420.7305,prophet
1,2026-02,281.8616,221.5466,340.2454,prophet
1,2026-03,346.2293,280.8667,411.5875,prophet
1,2026-04,265.0045,203.1753,321.4467,prophet
1,2026-05,369.6449,308.9893,429.0437,prophet
1,2026-06,355.1258,296.4042,417.9783,prophet
2,2025-07,0.0,0.0,0.0,prophet
2,2025-08,0.0,0.0,0.9421,prophet
2,2025-09,0.0,0.0,0.0,prophet
2,2025-10,0.4569,0.0,2.3755,prophet
2,2025-11,0.0,0.0,0.0,prophet
2,2025-12,0.0,0.0,0.0,prophet
2,2026-01,0.0,0.0,0.0,prophet
2,2026-02,0.0,0.0,0.0,prophet
2,2026-03,0.0,0.0,0.0,prophet
2,2026-04,0.0,0.0,0.0,prophet
2,2026-05,0.0,0.0,0.3887,prophet
2,2026-06,0.0,0.0,0.0,prophet
3,2025-07,13.3345,0.0,40.87,prophet
3,2025-08,11.3431,0.0,38.9638,prophet
3,2025-09,25.0716,0.0,52.6298,prophet
3,2025-10,19.2346,0.0,47.3128,prophet
3,2025-11,0.0,0.0,13.6715,prophet
3,2025-12,30.9724,3.9589,58.0978,prophet
3,2026-01,0.0,0.0,0.0,prophet
3,2026-02,0.0,0.0,4.4615,prophet
3,2026-03,0.0,0.0,26.6197,prophet
3,2026-04,84.1188,54.0632,111.6277,prophet
3,2026-05,4.3082,0.0,32.4805,prophet
3,2026-06,0.0,0.0,0.0,prophet
4,2025-07,1012.2829,690.6097,1336.4919,prophet
4,2025-08,892.7895,567.3243,1230.5496,prophet
4,2025-09,854.7536,548.9461,1180.2296,prophet
4,2025-10,1167.5994,836.5132,1481.853,prophet
4,2025-11,909.6115,602.2499,1230.7846,prophet
4,2025-12,419.3189,100.5055,749.6078,prophet
4,2026-01,819.1546,520.2041,1149.4575,prophet
4,2026-02,633.0313,320.6434,953.1455,prophet
4,2026-03,842.8854,518.7879,1169.4936,prophet
4,2026-04,817.5477,522.805,1123.6172,prophet
4,2026-05,553.2609,221.7314,882.9343,prophet
4,2026-06,585.695,279.4386,911.7497,prophet
5,2025-07,127.7254,105.0723,149.2001,prophet
5,2025-08,103.3159,81.8259,125.9999,prophet
5,2025-09,98.1892,75.0,120.542,prophet
5,2025-10,115.3848,93.0932,139.4643,prophet
5,2025-11,94.5309,71.5972,117.0564,prophet
5,2025-12,73.2382,50.8343,94.5862,prophet
5,2026-01,87.3974,65.0902,109.098,prophet
