grupo_id,ym,yhat,yhat_lower,yhat_upper,metodo
1,2025-07,281.4983,218.9143,340.3657,prophet
1,2025-08,361.3251,299.2672,423.9094,prophet
1,2025-09,282.0127,221.4803,345.0418,prophet
1,2025-10,369.6762,310.6107,431.8058,prophet
1,2025-11,277.7158,215.9414,334.1834,prophet
1,2025-12,299.5014,243.1594,361.0131,prophet
1,2026-01,357.0255,294.1114,422.4995,prophet
1,2026-02,281.8616,219.345,345.2775,prophet
1,2026-03,346.2293,285.7584,410.0662,prophet
1,2026-04,265.0045,200.5948,322.6661,prophet
1,2026-05,369.6449,308.4301,429.5314,prophet
1,2026-06,355.1258,292.3514,413.8857,prophet
2,2025-07,0.0,0.0,0.0,prophet
2,2025-08,0.9303,0.0,2.8678,prophet
2,2025-09,0.0,0.0,0.0,prophet
2,2025-10,3.6128,1.662,5.4719,prophet
2,2025-11,0.0,0.0,1.8547,prophet
2,2025-12,1.5806,0.0,3.4147,prophet
2,2026-01,0.0,0.0,0.0,prophet
2,2026-02,1.42,0.0,3.3808,prophet
2,2026-03,0.0,0.0,0.0,prophet
2,2026-04,0.0,0.0,0.0,prophet
2,2026-05,0.2175,0.0,2.0509,prophet
2,2026-06,0.0,0.0,0.0,prophet
3,2025-07,0.0,0.0,0.0,prophet
3,2025-08,0.0,0.0,0.0,prophet
3,2025-09,0.0,0.0,0.0,prophet
3,2025-10,0.0,0.0,0.0,prophet
3,2025-11,0.0,0.0,0.0,prophet
3,2025-12,0.0,0.0,0.0,prophet
3,2026-01,0.0,0.0,0.0,prophet
3,2026-02,0.0,0.0,0.0,prophet
3,2026-03,0.0,0.0,0.0,prophet
3,2026-04,0.0,0.0,0.0,prophet
3,2026-05,0.0,0.0,0.0,prophet
3,2026-06,0.0,0.0,0.0,prophet
4,2025-07,944.0519,644.8765,1259.0051,prophet
4,2025-08,773.0095,488.8307,1102.3281,prophet
4,2025-09,738.472,413.0934,1060.8479,prophet
4,2025-10,985.5981,651.9347,1307.7414,prophet
4,2025-11,906.1807,610.4839,1234.6625,prophet
4,2025-12,310.3014,1.8589,632.1743,prophet
4,2026-01,825.7458,500.997,1135.2208,prophet
4,2026-02,628.1473,320.392,945.2424,prophet
4,2026-03,792.4424,471.457,1110.4285,prophet
4,2026-04,780.8353,460.1795,1063.0991,prophet
4,2026-05,547.5339,280.3334,859.4115,prophet
4,2026-06,582.864,283.2206,907.4706,prophet
5,2025-07,132.3218,108.5623,156.1553,prophet
5,2025-08,107.0671,83.9913,130.5829,prophet
5,2025-09,98.7451,74.8077,122.1461,prophet
5,2025-10,118.0895,94.8661,140.457,prophet
5,2025-11,99.0156,75.2436,122.9377,prophet
5,2025-12,73.6327,50.799,96.5873,prophet
5,2026-01,87.8027,64.0878,110.5598,prophet
5,2026-02,92.8918,71.4799,119.0028,prophet
5,2026-03,120.7902,98.2018,143.6271,prophet
5,2026-04,124.4868,101.1606,146.364,prophet
5,2026-05,132.297,109.195,156.468,prophet
5,2026-06,149.4217,125.4374,172.1277,prophet
6,2025-07,1077.0708,0.0,2562.8797,prophet
6,2025-08,7642.7356,6093.2407,9102.1324,prophet
6,2025-09,6987.6278,5526.7231,8477.9965,prophet
