grupo_id,ym,demanda_real
1,2025-07,250
1,2025-08,231
1,2025-09,208
1,2025-10,232
1,2025-11,311
1,2025-12,125
1,2026-01,315
1,2026-02,270
1,2026-03,290
1,2026-04,280
1,2026-05,70
1,2026-06,210
4,2025-07,923
4,2025-08,843
4,2025-09,1367
4,2025-10,842
4,2025-11,720
4,2025-12,1092
4,2026-01,621
4,2026-02,679
4,2026-03,2925
4,2026-04,4097
4,2026-05,833
4,2026-06,747
5,2025-07,174
5,2025-08,200
5,2025-09,97
5,2025-10,63
5,2025-11,63
5,2025-12,68
5,2026-01,48
5,2026-02,43
5,2026-03,78
5,2026-04,39
5,2026-05,52
5,2026-06,70
6,2025-07,2675
6,2025-08,10921
6,2025-09,12805
6,2025-10,12908
6,2025-11,11572
6,2025-12,3180
6,2026-01,264
6,2026-02,234
6,2026-03,183
6,2026-04,572
6,2026-05,348
6,2026-06,528
7,2025-07,107
7,2025-08,88
7,2025-09,170
7,2025-10,302
7,2025-11,982
7,2025-12,105
7,2026-01,830
7,2026-02,367
7,2026-03,225
7,2026-04,63
7,2026-05,36
7,2026-06,2
8,2025-07,46
8,2025-08,4
8,2025-09,23
8,2025-10,31
8,2025-11,13
8,2025-12,24
8,2026-01,20
8,2026-02,21
8,2026-03,30
8,2026-04,37
8,2026-05,18
8,2026-06,52
9,2025-07,32
9,2025-08,28
9,2025-09,13
9,2025-10,20
9,2025-11,5
9,2025-12,4
9,2026-02,30
9,2026-03,10
9,2026-04,17
9,2026-05,25
9,2026-06,7
11,2025-07,3998
11,2025-08,4264
11,2025-09,3781
11,2025-10,4249
11,2025-11,4998
11,2025-12,3457
11,2026-01,3211
11,2026-02,2766
11,2026-03,3527
11,2026-04,4198
11,2026-05,2874
11,2026-06,5015
12,2025-07,145
12,2025-08,143
12,2025-09,113
12,2025-10,205
12,2025-11,248
12,2025-12,191
12,2026-01,125
12,2026-02,123
12,2026-03,183
12,2026-04,192
12,2026-05,122
12,2026-06,186
13,2025-07,170
13,2025-08,193
13,2025-09,160
13,2025-10,158
13,2025-11,120
13,2025-12,125
13,2026-01,93
13,2026-02,101
13,2026-03,152
13,2026-04,129
13,2026-05,111
13,2026-06,120
14,2025-07,3398
14,2025-08,3415
14,2025-09,2602
14,2025-10,3948
14,2025-11,2021
14,2025-12,2940
14,2026-01,2236
14,2026-02,2095
14,2026-03,2804
14,2026-04,3469
14,2026-05,2789
14,2026-06,3291
15,2025-07,672
15,2025-08,683
15,2025-09,1473
15,2025-10,2122
15,2025-11,494
15,2025-12,859
15,2026-01,245
15,2026-02,392
15,2026-03,331
15,2026-04,568
15,2026-05,291
15,2026-06,446
16,2025-07,568
16,2025-08,473
16,2025-09,431
16,2025-10,497
16,2025-11,369
16,2025-12,452
16,2026-01,214
16,2026-02,215
16,2026-03,364
16,2026-04,440
16,2026-05,234
16,2026-06,196
18,2025-07,5
18,2025-08,2
18,2025-09,10
18,2025-10,9
18,2025-11,10
18,2025-12,13
18,2026-01,20
18,2026-02,14
18,2026-03,20
18,2026-04,26
18,2026-05,20
18,2026-06,16
20,2025-07,18
20,2025-08,10
20,2025-09,9
20,2025-10,20
20,2025-11,8
20,2025-12,9
20,2026-01,15
20,2026-02,21
20,2026-03,6
20,2026-04,36
20,2026-05,18
20,2026-06,38
21,2025-07,16
21,2025-08,8
21,2025-09,17
21,2025-10,8
21,2025-11,23
21,2025-12,4
21,2026-01,17
21,2026-02,16
21,2026-03,9
21,2026-04,29
21,2026-05,3
21,2026-06,18
