fecha,demanda
2021-01-01,496
2021-02-01,562
2021-03-01,613
2021-04-01,656
2021-05-01,625
2021-06-01,553
2021-07-01,544
2021-08-01,475
2021-09-01,439
2021-10-01,437
2021-11-01,462
2021-12-01,535
2022-01-01,588
2022-02-01,641
2022-03-01,669
2022-04-01,685
2022-05-01,706
2022-06-01,695
2022-07-01,609
2022-08-01,551
2022-09-01,529
2022-10-01,470
2022-11-01,520
2022-12-01,590
2023-01-01,666
2023-02-01,704
2023-03-01,769
2023-04-01,788
2023-05-01,791
2023-06-01,706
2023-07-01,694
2023-08-01,588
2023-09-01,523
2023-10-01,563
2023-11-01,577
2023-12-01,672
2024-01-01,733
2024-02-01,752
2024-03-01,853
2024-04-01,829
2024-05-01,842
2024-06-01,799
2024-07-01,755
2024-08-01,718
2024-09-01,676
2024-10-01,659
2024-11-01,688
2024-12-01,734
