grupo_id,familia,sub_familia
1,Moldes,Cápsulas
2,Chocolatería,"Decoraciones Chocolatería"
3,Chocolatería,Fantasy
4,Chocolatería,Premium
5,Chocolatería,Prática
6,"Fruta Confitada","Fruta Confitada"
7,Heladería,Conos
8,Moldes,Queque
9,Moldes,Tartaleta
10,Pastelería,Otros
11,Pastelería,Decoración
12,Pastelería,"Brillos y Glaseados"
13,Pastelería,Rellenos
14,Pastelería,"Dulce de Leche"
15,Pastelería,Mermeladas
16,Pastelería,Premezclas
17,Pastelería,"Pasta Americana"
18,Pastelería,"Saborizantes y Postres"
19,Pastelería,Donuts
20,Moldes,Especiales
21,Deshidratados,Especias
22,Moldes,"Pan de Pascua"
23,"Cobro Despacho","Cobro Despacho"
24,Otros,Otros
