grupo_id,ym,yhat,yhat_lower,yhat_upper,metodo
1,2026-07,314.1114,241.8859,391.6603,prophet
1,2026-08,306.4844,228.4806,385.0631,prophet
1,2026-09,285.5048,205.2304,357.6547,prophet
1,2026-10,340.3049,268.1758,422.577,prophet
1,2026-11,299.6801,221.6188,376.3177,prophet
1,2026-12,270.1358,194.0954,346.9014,prophet
1,2027-01,325.5281,242.1703,405.5605,prophet
1,2027-02,307.4335,236.6999,381.6987,prophet
1,2027-03,354.1803,276.2116,426.8953,prophet
1,2027-04,270.9513,193.3573,341.967,prophet
1,2027-05,298.9953,217.5871,377.4439,prophet
1,2027-06,301.8694,225.0221,373.1777,prophet
2,2026-07,0.0,0.0,0.0,prophet
2,2026-08,0.0,0.0,0.0,prophet
2,2026-09,0.0,0.0,0.0,prophet
2,2026-10,0.0,0.0,0.0,prophet
2,2026-11,0.0,0.0,0.0,prophet
2,2026-12,0.0,0.0,0.0,prophet
2,2027-01,0.0,0.0,0.0,prophet
2,2027-02,0.0,0.0,0.0,prophet
2,2027-03,0.0,0.0,0.0,prophet
2,2027-04,0.0,0.0,0.0,prophet
2,2027-05,0.0,0.0,0.0,prophet
2,2027-06,0.0,0.0,0.0,prophet
3,2026-07,10.4276,0.0,38.1221,prophet
3,2026-08,5.758,0.0,32.7083,prophet
3,2026-09,27.8833,0.0,55.655,prophet
3,2026-10,0.0,0.0,15.9412,prophet
3,2026-11,0.0,0.0,12.1679,prophet
3,2026-12,0.0,0.0,21.0368,prophet
3,2027-01,0.0,0.0,0.0,prophet
3,2027-02,0.0,0.0,0.0,prophet
3,2027-03,0.0,0.0,3.1132,prophet
3,2027-04,87.816,61.0195,114.5083,prophet
3,2027-05,0.0,0.0,17.1972,prophet
3,2027-06,0.0,0.0,0.0,prophet
4,2026-07,1017.5943,373.1037,1653.7867,prophet
4,2026-08,1120.8279,461.1813,1782.4597,prophet
4,2026-09,1220.5476,596.4638,1895.5334,prophet
4,2026-10,1472.9341,805.5985,2119.1683,prophet
4,2026-11,663.8966,64.7181,1308.9946,prophet
