grupo_id,producto_codigo,producto_nombre,ym,demanda
1,CAPMG0804,"Cápsulas 50x29 Blanco (Caja 32.680 Unid.)",2022-05,46
1,CAPMG0804,"Cápsulas 50x29 Blanco (Caja 32.680 Unid.)",2022-06,166
1,CAPMG0804,"Cápsulas 50x29 Blanco (Caja 32.680 Unid.)",2022-07,108
1,CAPMG0804,"Cápsulas 50x29 Blanco (Caja 32.680 Unid.)",2022-08,123
1,CAPMG0804,"Cápsulas 50x29 Blanco (Caja 32.680 Unid.)",2022-09,61
1,CAPMG0804,"Cápsulas 50x29 Blanco (Caja 32.680 Unid.)",2022-10,107
1,CAPMG0804,"Cápsulas 50x29 Blanco (Caja 32.680 Unid.)",2022-11,108
1,CAPMG0804,"Cápsulas 50x29 Blanco (Caja 32.680 Unid.)",2022-12,46
1,CAPMG0804,"Cápsulas 50x29 Blanco (Caja 32.680 Unid.)",2023-01,120
1,CAPMG0804,"Cápsulas 50x29 Blanco (Caja 32.680 Unid.)",2023-02,61
1,CAPMG0804,"Cápsulas 50x29 Blanco (Caja 32.680 Unid.)",2023-03,126
1,CAPMG0804,"Cápsulas 50x29 Blanco (Caja 32.680 Unid.)",2023-04,30
1,CAPMG0804,"Cápsulas 50x29 Blanco (Caja 32.680 Unid.)",2023-05,122
1,CAPMG0804,"Cápsulas 50x29 Blanco (Caja 32.680 Unid.)",2023-06,75
1,CAPMG0804,"Cápsulas 50x29 Blanco (Caja 32.680 Unid.)",2023-07,158
1,CAPMG0804,"Cápsulas 50x29 Blanco (Caja 32.680 Unid.)",2023-08,106
1,CAPMG0804,"Cápsulas 50x29 Blanco (Caja 32.680 Unid.)",2023-09,148
1,CAPMG0804,"Cápsulas 50x29 Blanco (Caja 32.680 Unid.)",2023-10,218
1,CAPMG0804,"Cápsulas 50x29 Blanco (Caja 32.680 Unid.)",2023-11,120
1,CAPMG0804,"Cápsulas 50x29 Blanco (Caja 32.680 Unid.)",2023-12,178
1,CAPMG0804,"Cápsulas 50x29 Blanco (Caja 32.680 Unid.)",2024-01,149
1,CAPMG0804,"Cápsulas 50x29 Blanco (Caja 32.680 Unid.)",2024-02,194
1,CAPMG0804,"Cápsulas 50x29 Blanco (Caja 32.680 Unid.)",2024-03,184
1,CAPMG0804,"Cápsulas 50x29 Blanco (Caja 32.680 Unid.)",2024-04,226
1,CAPMG0804,"Cápsulas 50x29 Blanco (Caja 32.680 Unid.)",2024-05,128
1,CAPMG0804,"Cápsulas 50x29 Blanco (Caja 32.680 Unid.)",2024-06,321
1,CAPMG0804,"Cápsulas 50x29 Blanco (Caja 32.680 Unid.)",2024-07,199
1,CAPMG0804,"Cápsulas 50x29 Blanco (Caja 32.680 Unid.)",2024-08,343
1,CAPMG0804,"Cápsulas 50x29 Blanco (Caja 32.680 Unid.)",2024-09,223
1,CAPMG0804,"Cápsulas 50x29 Blanco (Caja 32.680 Unid.)",2024-10,331
1,CAPMG0804,"Cápsulas 50x29 Blanco (Caja 32.680 Unid.)",2024-11,188
1,CAPMG0804,"Cápsulas 50x29 Blanco (Caja 32.680 Unid.)",2024-12,237
1,CAPMG0804,"Cápsulas 50x29 Blanco (Caja 32.680 Unid.)",2025-01,306
1,CAPMG0804,"Cápsulas 50x29 Blanco (Caja 32.680 Unid.)",2025-02,193
1,CAPMG0804,"Cápsulas 50x29 Blanco (Caja 32.680 Unid.)",2025-03,274
1,CAPMG0804,"Cápsulas 50x29 Blanco (Caja 32.680 Unid.)",2025-04,150
1,CAPMG0804,"Cápsulas 50x29 Blanco (Caja 32.680 Unid.)",2025-05,415
1,CAPMG0804,"Cápsulas 50x29 Blanco (Caja 32.680 Unid.)",2025-06,151
1,CAPMG0804,"Cápsulas 50x29 Blanco (Caja 32.680 Unid.)",2025-07,250
1,CAPMG0804,"Cápsulas 50x29 Blanco (Caja 32.680 Unid.)",2025-08,231
1,CAPMG0804,"Cápsulas 50x29 Blanco (Caja 32.680 Unid.)",2025-09,208
1,CAPMG0804,"Cápsulas 50x29 Blanco (Caja 32.680 Unid.)",2025-10,232
1,CAPMG0804,"Cápsulas 50x29 Blanco (Caja 32.680 Unid.)",2025-11,311
1,CAPMG0804,"Cápsulas 50x29 Blanco (Caja 32.680 Unid.)",2025-12,125
1,CAPMG0804,"Cápsulas 50x29 Blanco (Caja 32.680 Unid.)",2026-01,315
1,CAPMG0804,"Cápsulas 50x29 Blanco (Caja 32.680 Unid.)",2026-02,270
1,CAPMG0804,"Cápsulas 50x29 Blanco (Caja 32.680 Unid.)",2026-03,290
1,CAPMG0804,"Cápsulas 50x29 Blanco (Caja 32.680 Unid.)",2026-04,280
1,CAPMG0804,"Cápsulas 50x29 Blanco (Caja 32.680 Unid.)",2026-05,70
1,CAPMG0804,"Cápsulas 50x29 Blanco (Caja 32.680 Unid.)",2026-06,210
2,CHODETR01,"Transfer Corazón 29x39 cm. 4 Diseños (Caja 5x4 Hojas)",2022-05,2
2,CHODETR04,"Transfer Romántico 4 Diseños (Caja 5x4 Hojas)",2022-05,5
2,CHODETR04,"Transfer Romántico 4 Diseños (Caja 5x4 Hojas)",2022-07,1
2,CHODETR04,"Transfer Romántico 4 Diseños (Caja 5x4 Hojas)",2022-09,2
2,CHODETR13,"Transfer Micelaneo Nro.1 - 4 Diseños (Caja 5x4 Hojas)",2022-05,4
2,CHODETR13,"Transfer Micelaneo Nro.1 - 4 Diseños (Caja 5x4 Hojas)",2022-06,4
2,CHODETR13,"Transfer Micelaneo Nro.1 - 4 Diseños (Caja 5x4 Hojas)",2022-07,3
2,CHODETR13,"Transfer Micelaneo Nro.1 - 4 Diseños (Caja 5x4 Hojas)",2022-08,2
2,CHODETR13,"Transfer Micelaneo Nro.1 - 4 Diseños (Caja 5x4 Hojas)",2022-10,3
2,CHODETR13,"Transfer Micelaneo Nro.1 - 4 Diseños (Caja 5x4 Hojas)",2022-11,2
2,CHODETR14,"Transfer Micelaneo Nro.2 - 4 Diseños (Caja 5x4 Hojas)",2022-05,4
2,CHODETR14,"Transfer Micelaneo Nro.2 - 4 Diseños (Caja 5x4 Hojas)",2022-06,1
2,CHODETR14,"Transfer Micelaneo Nro.2 - 4 Diseños (Caja 5x4 Hojas)",2022-08,2
2,CHODETR14,"Transfer Micelaneo Nro.2 - 4 Diseños (Caja 5x4 Hojas)",2022-09,2
2,CHODETR14,"Transfer Micelaneo Nro.2 - 4 Diseños (Caja 5x4 Hojas)",2022-10,1
2,CHODETR14,"Transfer Micelaneo Nro.2 - 4 Diseños (Caja 5x4 Hojas)",2022-11,1
2,CHODETR14,"Transfer Micelaneo Nro.2 - 4 Diseños (Caja 5x4 Hojas)",2022-12,1
2,CHODETR14,"Transfer Micelaneo Nro.2 - 4 Diseños (Caja 5x4 Hojas)",2023-02,2
2,CHODETR14,"Transfer Micelaneo Nro.2 - 4 Diseños (Caja 5x4 Hojas)",2023-05,3
2,CHODETR14,"Transfer Micelaneo Nro.2 - 4 Diseños (Caja 5x4 Hojas)",2023-07,3
2,CHODETR14,"Transfer Micelaneo Nro.2 - 4 Diseños (Caja 5x4 Hojas)",2023-09,3
2,CHODETR14,"Transfer Micelaneo Nro.2 - 4 Diseños (Caja 5x4 Hojas)",2023-11,3
2,CHODETR14,"Transfer Micelaneo Nro.2 - 4 Diseños (Caja 5x4 Hojas)",2024-01,1
2,CHODETR03,"Transfer Baby Shower Nro.1 - 4 Diseños (Caja 5x4 Hojas)",2022-10,1
2,CHODETR03,"Transfer Baby Shower Nro.1 - 4 Diseños (Caja 5x4 Hojas)",2022-11,1
2,CHODETR03,"Transfer Baby Shower Nro.1 - 4 Diseños (Caja 5x4 Hojas)",2024-08,1
2,CHODETR07,"Transfer Baby Shower Nro.2 - 4 Diseños (Caja 5x4 Hojas)",2022-10,1
2,CHODETR07,"Transfer Baby Shower Nro.2 - 4 Diseños (Caja 5x4 Hojas)",2024-08,1
2,CHODETR02,"Transfer Novios Nro.1 - 4 Diseños (Caja 5x4 Hojas)",2024-08,1
2,CHODETR08,"Transfer Kamasutra 4 Diseños (Caja 5x4 Hojas)",2024-08,1
2,CHODETR15,"Transfer Novios Nro.2 - 4 Diseños (Caja 5x4 Hojas)",2024-08,1
3,CHOFYBA01,"Fantasy Arándano (Barra 1x1)",2022-05,9
3,CHOFYBA01,"Fantasy Arándano (Barra 1x1)",2022-06,6
3,CHOFYBA01,"Fantasy Arándano (Barra 1x1)",2022-07,7
3,CHOFYBA01,"Fantasy Arándano (Barra 1x1)",2022-08,2
3,CHOFYBA01,"Fantasy Arándano (Barra 1x1)",2022-09,18
