producto_codigo,activo
CAPMG0804,1
CHODETR01,1
CHODETR04,1
CHODETR13,1
CHODETR14,1
CHODETR03,1
CHODETR07,1
CHODETR02,1
CHODETR08,1
CHODETR15,1
CHOFYBA01,1
CHOFYBA03,1
CHOFYBA04,1
CHOFYBA05,1
CHOFYBA06,1
CHOPRBA03,1
CHOPRMO02,1
CHOPRMO03,1
CHOPRBA02,1
CHOPRMO01,1
CHOPTBA02,1
CHOPTSA02,1
CHOPTSA03,1
CHOPTBA03,1
CHOPTSA04,1
FRTCRCC01,1
FRTFCCC01,1
FRTNADL01,1
FRTFCCC03,1
FRTFCSC01,1
FRTFCCC02,1
FRTFCCC06,1
FRTFCCC07,1
FRTFCCC04,1
FRTFCCC05,1
FRTNADL02,1
FRTFCCC08,1
HELCNES02,1
HELCNMX01,1
HELCNMX02,1
HELCNES03,1
HELCNES01,1
HELCNBA01,1
HELCNOB01,1
MOLQQ1901,1
MOLTT2202,1
MOLES2001,1
PASACMG01,1
PASDEAA01,1
PASDEAA02,1
PASDEAG01,1
PASDEAG02,1
PASDEAG03,1
PASDEAG04,1
PASDEAG05,1
PASDECC01,1
PASDECC03,1
PASDECE03,1
PASDECE04,1
PASDECE05,1
PASDECE06,1
PASDECH02,1
PASDECH03,1
PASDECR01,1
PASDEFG01,1
PASDEFG02,1
PASDEFG05,1
PASDEFG07,1
PASDEFG08,0
PASDEFG10,0
PASDEFG13,1
PASDEFG14,1
PASDEFG15,1
PASDEFG17,1
PASDEFG18,1
PASDEFG20,1
PASDEFG22,1
PASDEFG23,1
PASDEFG24,1
PASDEGG01,1
PASDEGG03,1
PASDEGG04,1
PASDEGG05,0
PASDEGG06,1
PASDEGG07,1
PASDEGG08,1
PASDEGR02,1
PASDEGR03,1
PASDEGR04,1
PASDEGR05,1
PASDEGR07,1
PASDEGR08,1
PASDEGR22,1
PASDEGR24,0
PASDEGR25,1
PASDEAC01,1
PASDEFG12,1
PASDEFG16,1
PASDEGR10,1
PASDEGR21,0
PASDEGR28,0
PASDEFG06,1
PASDEFG25,1
PASDEFG26,1
PASDEFG29,1
PASDEFG47,1
PASDEFG48,1
PASDEGR11,1
PASDEGR30,1
PASDECE07,1
PASDEGR12,0
PASDEGR29,1
PASDEGR31,1
PASDEGR06,1
PASDECE08,1
PASDECC04,0
PASDEGR33,0
PASDEGR34,1
PASDEGR35,1
PASDEGR37,1
PASDEGR38,1
PASDEGR39,1
PASDEGR40,1
PASDEGR42,1
PASDEGR43,1
PASDECE09,1
PASDEGR45,1
PASDEGR46,1
PASDEGR47,0
PASDEGR48,1
PASDEGR49,1
PASDEGR50,1
PASDEGR51,1
PASDEGR52,1
PASDEGR53,1
PASDEGR54,1
PASDEGR55,1
PASDEGR57,1
PASDEGR58,1
PASDEGR59,1
PASDEGR61,1
PASDEGR62,1
PASDEGR56,1
PASDEGR60,1
PASDEGR63,1
PASDEGR64,1
PASDEGR65,1
PASDESP01,1
PASDESP02,1
PASDESP03,1
PASDESP04,1
PASDESP05,1
PASDESP06,1
PASDESP07,1
PASDESP08,1
PASDESP09,1
PASDESP10,1
PASDESP11,1
PASDESP12,1
PASDESP13,1
